ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup,Location,EthnicName,Abbreviation
ChuDongGua,Chu Dong Gua,shwe1236,Shwe Palaung,pll,Eurasia, 24.330889, 98.393125,Austroasiatic,Palaung,"Santaishan, Dehong",Liang/Ta-ang,CDG
MengDan,Meng Dan,khan1274,Kháng,kjm,Eurasia, 24.296522, 98.379886,Austroasiatic,Palaung,"Santaishan, Dehong",Pule/Ka-ang,MD
NanSang,Nan Sang,ruma1248,Rumai Palaung,rbb,Eurasia, 24.019728, 97.819736,Austroasiatic,Palaung,"Ruili, Dehong",Rumai,NS
GuangKa,Guang Ka,ruma1248,Rumai Palaung,rbb,Eurasia, 24.065714, 97.796281,Austroasiatic,Palaung,"Ruili, Dehong",Rumai,GK
MangBang,Mang Bang,ruma1248,Rumai Palaung,rbb,Eurasia, 24.416392, 98.399078,Austroasiatic,Palaung,"Longchuan, Dehong",Rumai,MB
ChaYeQing,Cha Ye Qing,,,,, 24.305717, 98.463661,,Palaung,"Mangshi, Dehong",Raokot/La-ang,CYQ
XiangZhaiTang,Xiang Zhai Tang,raoj1238,Raojin,,Eurasia, 24.323819, 98.556639,Austroasiatic,Palaung,"Mangshi, Dehong",Raojin/Na-ang,XCT
NamHsan,Namhsan,shwe1236,Shwe Palaung,pll,Eurasia, 22.965064, 97.163239,Austroasiatic,Palaung,"Namhsan Township, Shan",Ta-ang/SaamLoong,NH
KhunHawt,Khun Hawt,shwe1236,Shwe Palaung,pll,Eurasia, 22.965064, 97.163239,Austroasiatic,Palaung,"Namhsan, Shan",Ta-ang,KH
HtanHsan,Htan Hsan,shwe1236,Shwe Palaung,pll,Eurasia, 22.675133, 97.289942,Austroasiatic,Palaung,"Hsipaw, Shan",Ta-ang,TS
PangKham,Pangkham,ruch1235,Ruching Palaung,pce,Eurasia, 22.672097, 97.161167,Austroasiatic,Palaung,"Hsipaw, Shan",Dara-ang/Ta-ang,PK
ManLoi,Man Loi,ruch1235,Ruching Palaung,pce,Eurasia, 22.636019, 97.139264,Austroasiatic,Palaung,"Hsipaw, Shan",Dara-ang/Katiang,ML
NyaungGone,Nyaung Gone,ruch1235,Ruching Palaung,pce,Eurasia, 20.635025, 96.545772,Austroasiatic,Palaung,"Kalaw, Shan",Da-ang,NG
BanPaw,Ban Paw,ruch1235,Ruching Palaung,pce,Eurasia, 21.311225, 99.557550,Austroasiatic,Palaung,"KengTung, Shan",Dara-ang,BP
NoeLae,Noe Lae,ruch1235,Ruching Palaung,pce,Eurasia, 19.941803, 99.044742,Austroasiatic,Palaung,"Fang, Chiang Mai",Dara-ang,NL
PongNuea,Pong Nuea,ruch1235,Ruching Palaung,pce,Eurasia, 20.321525, 99.866817,Austroasiatic,Palaung,"Mae Sai, Chiang Rai",Dara-ang,PN
