ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_sun,sun,1343,SUN,1
2_moon,moon,1313,MOON,2
3_star,star,1430,STAR,3
4_cloud,cloud,1489,CLOUD,4
5_rain,rain,2108,RAINING OR RAIN,5
6_wind,wind,960,WIND,6
7_night,night,1233,NIGHT,7
8_year,year,1226,YEAR,8
9_water,water,948,WATER,9
10_earthsoil,"earth, soil",1228,EARTH (SOIL),10
11_stone,stone,1762,STONE (OF FRUIT),11
12_mountain,mountain,639,MOUNTAIN,12
13_tree,tree,906,TREE,13
14_root,root,670,ROOT,14
15_leaf,leaf,628,LEAF,15
16_flower,flower,239,FLOWER,16
17_fruit,fruit,1507,FRUIT,17
18_grass,grass,606,GRASS,18
19_salty,salty,1091,SALTY,19
20_dog,dog,2009,DOG,20
21_bite,bite,1403,BITE,21
22_horn,horn,1393,HORN (ANATOMY),22
23_tail,tail,1220,TAIL,23
24_bird,bird,937,BIRD,24
25_fly,fly,1504,FLY (INSECT),25
26_egg,egg,744,EGG,26
27_fish,fish,227,FISH,27
28_snake,snake,730,SNAKE,28
29_louse,louse,1392,LOUSE,29
30_head,head,1256,HEAD,30
31_hair,hair,1040,HAIR,31
32_eye,eye,1248,EYE,32
33_nose,nose,1221,NOSE,33
34_ear,ear,1247,EAR,34
35_mouth,mouth,674,MOUTH,35
36_tongue,tongue,1205,TONGUE,36
37_tooth,tooth,1380,TOOTH,37
38_abdomen,abdomen,1251,BELLY,38
39_heart,heart,1223,HEART,39
40_liver,liver,1224,LIVER,40
41_intestines,intestines,1991,INTESTINES,41
42_hand,hand,1277,HAND,42
43_nail,nail,502,NAIL (TOOL),43
44_foot,foot,1301,FOOT,44
45_bone,bone,1394,BONE,45
46_fat,fat,323,FAT (ORGANIC SUBSTANCE),46
47_skin,skin,763,SKIN,47
48_blood,blood,946,BLOOD,48
49_personhuman,"person, human",683,PERSON,49
50_child,child,2099,CHILD,50
51_name,name,1405,NAME,51
52_roadpath,"road, path",2457,PATH OR ROAD,52
53_sew,sew,1457,SEW,53
54_fire,fire,221,FIRE,54
55_ashes,ashes,646,ASH,55
56_smoke,smoke,778,SMOKE (EXHAUST),56
57_smell,smell,1586,SMELL (PERCEIVE),57
58_see,see,1409,SEE,58
59_eat,eat,1336,EAT,59
60_drink,drink,1401,DRINK,60
61_spit,spit,1440,SPIT,61
62_breathe,breathe,1407,BREATHE,62
63_laugh,laugh,1355,LAUGH,63
64_know,know,3626,KNOW,64
65_fear,fear,1419,FEAR (BE AFRAID),65
66_sleep,sleep,1585,SLEEP,66
67_scratch,scratch,1436,SCRATCH,67
68_die,die,1494,DIE,68
69_sit,sit,1416,SIT,69
70_stand,stand,1442,STAND,70
71_falltodrop,"fall, to drop",1280,FALL,71
72_give,give,1447,GIVE,72
73_rubhardwithbothhands,rub hard with both hands,1449,RUB,73
74_cut,cut,1432,CUT,74
75_dig,dig,1418,DIG,75
76_burn,burn,2102,BURN,76
77_hunt,hunt,1435,HUNT,77
78_kill,kill,1417,KILL,78
79_one,one,1493,ONE,79
80_two,two,1498,TWO,80
81_three,three,492,THREE,81
82_four,four,1500,FOUR,82
83_many,many,1198,MANY,83
84_long,long,1203,LONG,84
85_full,full,1429,FULL,85
86_rightside,right side,1019,RIGHT,86
87_leftside,left side,244,LEFT,87
88_far,far,1406,FAR,88
89_near,near,1942,NEAR,89
90_this,this,1214,THIS,90
91_black,black,163,BLACK,91
92_white,white,1335,WHITE,92
93_new,new,1231,NEW,93
94_oldaged,old-aged,2112,OLD (AGED),94
95_cold,cold,1287,COLD,95
96_heavy,heavy,1210,HEAVY,96
97_who,who?,1235,WHO,97
98_what,what?,1236,WHAT,98
99_i,I,1209,I,99
100_yousg,you (sg.),1213,YOU,100
